animal_id,name,datetime,datetime2,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A665474,*Molly,2013-10-18T13:19:00.000,2013-10-18T13:19:00.000,Montopolis/ E Riverside in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A615008,*Thauti,2013-10-18T13:33:00.000,2013-10-18T13:33:00.000,4606 Little Hill Cir in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Staffordshire Mix,Tan/White
A665481,,2013-10-18T13:47:00.000,2013-10-18T13:47:00.000,Ruidosa in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan
A665479,Tesla,2013-10-18T14:14:00.000,2013-10-18T14:14:00.000,14000 Renaissance Ct. #2044 in Travis (TX),Stray,Normal,Dog,Intact Female,9 months,Labrador Retriever Mix,Black
A665482,*Khaleesi,2013-10-18T14:24:00.000,2013-10-18T14:24:00.000,6141 Turnersville Rd in Creedmoor (TX),Stray,Normal,Dog,Intact Female,1 year,Siberian Husky/German Shepherd,Black/Tan
A665484,,2013-10-18T14:27:00.000,2013-10-18T14:27:00.000,Manor Rd/ Walnunt in Austin (TX),Stray,Injured,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby
A665483,,2013-10-18T14:33:00.000,2013-10-18T14:33:00.000,E. 3Rd & Trinity in Austin (TX),Wildlife,Normal,Other,Unknown,6 months,Bat Mix,Gray
A664523,Lucy,2013-10-18T14:40:00.000,2013-10-18T14:40:00.000,13704 Cambourne Dr in Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Female,9 months,German Shepherd Mix,Black/Tan
A665485,Bratt,2013-10-18T14:48:00.000,2013-10-18T14:48:00.000,1881 Grove Blvd. in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Boston Terrier/Beagle,Brown Brindle/White
A665491,Oso,2013-10-18T17:24:00.000,2013-10-18T17:24:00.000,3225 Bitter Creek in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,German Shepherd Mix,Black
A665492,Manny,2013-10-18T17:24:00.000,2013-10-18T17:24:00.000,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Rhod Ridgeback/Pit Bull,Red
A665493,Monty,2013-10-18T17:34:00.000,2013-10-18T17:34:00.000,6405 Hergotz in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Australian Cattle Dog Mix,Blue Merle
A665496,Mikey,2013-10-18T18:07:00.000,2013-10-18T18:07:00.000,12001 Metric Blvd in Austin (TX),Stray,Normal,Cat,Neutered Male,3 years,Bengal,Brown Tiger
A665494,Bear,2013-10-18T18:08:00.000,2013-10-18T18:08:00.000,7601 Dixie Dr in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Chihuahua Shorthair/Pug,Tan
A655701,*Lissa,2013-10-18T18:19:00.000,2013-10-18T18:19:00.000,1015 E Yager Ln in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Bull Terrier Miniature Mix,White/Brown
A623551,*Mouse,2013-10-18T18:38:00.000,2013-10-18T18:38:00.000,2300 Spirit Of Texas Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Black/Tan
